Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1,County,City/Town,Longitude,Latitude,Sold Amount,Sold Date,Foreclosure Year,Property Condition,Program,Project,SBL
3.115E+25,Residential Improved,New,Land Bank,,1031-33 Midland Ave,Onondaga,Syracuse,-76.152282,43.028708,,,2014,Demolition Candidate,,unfunded,084.-01-29.0
3.115E+25,Residential Improved,New,Land Bank,,201-1 1/2 Kirk Ave & Landon Ave,Onondaga,Syracuse,-76.149401,43.028872,,,2014,Major Renovation Needed,,,084.-28-14.0
3.115E+25,Residential Vacant - Buildable,Disposed,Private,,341-43 Coolidge Ave,Onondaga,Syracuse,-76.163204,43.030425,151,12/17/2015,2014,Unimproved,Demolitions,AG Demo Funds #1,086.-24-20.0
3.115E+25,Residential Improved,New,Land Bank,,115 Hudson St,Onondaga,Syracuse,-76.159948,43.035515,,,2014,Demolition Candidate,,unfunded,093.-10-33.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1224 South Ave,Onondaga,Syracuse,-76.159359,43.025213,4000,10/23/2015,2014,Major Renovation Needed,,,083.-09-10.0
3.115E+25,Commercial Vacant,New,Land Bank,,1082 Geddes St S & Hartson St,Onondaga,Syracuse,-76.17387,43.036853,,,2014,Demolition Candidate,Demolitions,CDBG - 2015,092.-27-43.1
3.115E+25,Residential Improved,New,Land Bank,,425 Cortland Ave,Onondaga,Syracuse,-76.154472,43.030708,,,2014,Demolition Candidate,,unfunded,086.-11-04.0
3.115E+25,Residential Improved,New,Land Bank,,1505 Salina St N,Onondaga,Syracuse,-76.162453,43.06852,,,2014,Minor Renovation Needed,,,002.-15-12.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,143 Fillmore Ave,Onondaga,Syracuse,-76.140633,43.01012,2500,3/6/2015,2014,,,,072.-06-12.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,211 Beecher St,Onondaga,Syracuse,-76.140633,43.060951,5000,11/20/2015,2014,Major Renovation Needed,,,016.-11-09.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,111 Beecher St,Onondaga,Syracuse,-76.142769,43.05975,6900,3/31/2016,2014,Minor Renovation Needed,,,016.-07-24.0
3.115E+25,Residential Improved,New,Land Bank,,364-66 Seymour St,Onondaga,Syracuse,-76.163452,43.042561,,,2014,Minor Renovation Needed,,,097.-02-22.0
3.115E+25,Commercial Improved,New,Land Bank,,770-72 Butternut St,Onondaga,Syracuse,-76.144821,43.061249,,,2014,Demolition Candidate,Land Banking,Site Assembly - Land Bank,016.-02-16.0
3.115E+25,Residential Improved,New,Land Bank,,822 Butternut St & Schneider,Onondaga,Syracuse,-76.144107,43.062348,,,2014,Major Renovation Needed,Land Banking,Site Assembly - Land Bank,015.-11-35.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,158 Clyde Ave,Onondaga,Syracuse,-76.161942,43.021339,,,2014,Unimproved,Demolitions,AG Demo Funds #2,079.-11-17.0
3.115E+25,Residential Improved,New,Land Bank,,109 Titus Alley Rear,Onondaga,Syracuse,-76.156242,43.063419,,,2014,Major Renovation Needed,,,007.-35-34.0
3.115E+25,Industrial Vacant,New,Land Bank,,205 Turtle St & Lodi St,Onondaga,Syracuse,-76.161493,43.06708,,,2014,Unimproved,Demolitions,Land Bank funded,002.-25-14.0
3.115E+25,Residential Vacant - Nonbuildable,Disposed,Private,,2313 Lodi St,Onondaga,Syracuse,-76.159508,43.065708,151,3/27/2015,2014,,,,007.-14-08.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,2509 Lodi St,Onondaga,Syracuse,-76.162178,43.066811,,,2014,,,,002.-26-07.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,214 Sackett St,Onondaga,Syracuse,-76.176002,43.051849,,,2014,Unimproved,Demolitions,AG Demo Funds #2,109.-03-42.0
3.115E+25,Residential Vacant - Buildable,Disposed,Private,,326 Brighton Ave E,Onondaga,Syracuse,-76.139,43.018921,151,6/12/2015,2014,,,,061.-01-06.1
3.115E+25,Residential Improved,Disposed,Private,,207 Coral Ave,Onondaga,Syracuse,-76.150009,43.00917,2500,4/10/2015,2014,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,073.-13-05.0
3.115E+25,Residential Improved,New,Land Bank,,1079-81 Onondaga St W,Onondaga,Syracuse,-76.169434,43.03389,,,2014,Demolition Candidate,,unfunded,092.-14-03.0
3.115E+25,Commercial Vacant,Disposition in Process,Land Bank,,433 Franklin St N Rear,Onondaga,Syracuse,-76.157407,43.055665,,,,,Land Banking,For City Parks,118.-08-13.1
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1038-40 Bellevue Ave,Onondaga,Syracuse,-76.171547,43.033272,16500,8/3/2015,2014,Major Renovation Needed,,,092.-21-25.0
3.115E+25,Residential Improved,New,Land Bank,,515 Cortland Ave,Onondaga,Syracuse,-76.156469,43.029326,,,2015,Major Renovation Needed,,,086.-12-11.0
3.115E+25,Residential Improved,New,Land Bank,,547 Cortland Ave,Onondaga,Syracuse,-76.157432,43.028717,,,2015,Major Renovation Needed,,,086.-12-03.0
3.115E+25,Residential Improved,New,Land Bank,,211-1/2 Beard Ave W,Onondaga,Syracuse,-76.148889,43.026083,,,2015,Major Renovation Needed,,,084.-23-05.0
3.115E+25,Residential Improved,New,Land Bank,,114 Borden Ave W,Onondaga,Syracuse,-76.147438,43.027795,,,2015,Major Renovation Needed,,,084.-21-12.0
3.115E+25,Residential Improved,New,Land Bank,,558 Cortland Ave,Onondaga,Syracuse,-76.1577,43.029011,,,2015,Major Renovation Needed,,,086.-14-17.0
3.115E+25,Commercial Improved,Compliance Monitoring,Private,,119 Crescent Ave To Kennedy S,Onondaga,Syracuse,-76.158624,43.028254,5000,11/12/2015,2015,Major Renovation Needed,,,086.-16-05.0
3.115E+25,Commercial Vacant,New,Land Bank,,1361 Burnet Ave,Onondaga,Syracuse,-76.120134,43.054965,,,2015,Unimproved,Demolitions,CDBG - 2015,028.-14-18.0
3.115E+25,Commercial Improved,Disposition in Process,Land Bank,,1367 Burnet Ave,Onondaga,Syracuse,-76.120023,43.055024,,,2015,,,,028.-14-17.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1508 Burnet Ave,Onondaga,Syracuse,-76.116051,43.055611,12000,8/28/2015,2015,Major Renovation Needed,,,028.-12-18.0
3.115E+25,Residential Improved,Disposed,Private,,505 Hillsdale Ave & Caleb Ave,Onondaga,Syracuse,-76.107727,43.059008,2500,4/10/2015,2015,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,027.-23-18.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,336 Elm St,Onondaga,Syracuse,-76.129955,43.053932,6000,9/17/2015,2015,Major Renovation Needed,AG Grant,Evaluate for AG Grant,029.-15-42.0
3.115E+25,Residential Improved,New,Land Bank,,230 Hudson St,Onondaga,Syracuse,-76.160223,43.03265,,,2015,Demolition Candidate,,unfunded,086.-04-09.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,239 Hudson St,Onondaga,Syracuse,-76.15981,43.032402,6500,1/11/2016,2015,Minor Renovation Needed,,,086.-05-21.0
3.115E+25,Residential Vacant - Buildable,Disposed,Private,,449 Kennedy St W,Onondaga,Syracuse,-76.159981,43.028301,151,12/17/2015,2015,Unimproved,Demolitions,AG Demo Funds #1,086.-17-10.0
3.115E+25,Residential Improved,New,Land Bank,,110 White St,Onondaga,Syracuse,-76.160103,43.037231,,,2015,Demolition Candidate,,unfunded,093.-03-29.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,309 Onondaga Ave,Onondaga,Syracuse,-76.164238,43.031029,17500,5/18/2015,2015,Major Renovation Needed,,,086.-25-20.0
312689-016.-03-06.2,Residential Improved,New,Land Bank,,7133 Fly Rd,Onondaga,Dewitt,-76.06148,43.11644,,,2015,Demolition Candidate,Demolitions,Donor Funded Demo,
312689-085.-02-04.2,Residential Improved,Compliance Monitoring,Private,,4684 North Street,Onondaga,Jamesville,-76.072784,42.997654,22875,7/9/2015,2015,Minor Renovation Needed,,,
312601-005.-07-17.0,Residential Improved,Compliance Monitoring,Private,,106 Upton St,Onondaga,East Syracuse,-76.068703,43.06472,8100,7/1/2015,2015,Major Renovation Needed,,,
312803-008.-01-04.0,Residential Vacant - Buildable,New,Land Bank,,46 Hamilton St S,Onondaga,Jordan,-76.476926,43.063286,,,2015,Unimproved,Demolitions,County 2014 Funds,
313601-006.-07-11.0,Residential Improved,Compliance Monitoring,Private,,2813 Cold Springs Rd,Onondaga,Baldwinsville,-76.313377,43.155811,25000,10/21/2015,2015,,,,
313601-009.-04-07.0,Residential Improved,Compliance Monitoring,Private,,2 Wood St,Onondaga,Baldwinsville,-76.32283,43.156582,7500,9/2/2015,2015,,,,
3.115E+25,Residential Improved,Disposed,Private,,821 Cadillac St,Onondaga,Syracuse,-76.145622,43.083019,3028.74,3/18/2016,2015,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,004.-07-14.0
3.115E+25,Residential Improved,New,Land Bank,,113 Knaul St,Onondaga,Syracuse,-76.14241,43.066711,,,2015,Minor Renovation Needed,,,010.-28-22.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,312 Hawley Ave,Onondaga,Syracuse,-76.140852,43.053105,65000,9/3/2015,2015,Minor Renovation Needed,,,030.-01-06.0
3.115E+25,Residential Improved,New,Land Bank,,428 Hawley Ave,Onondaga,Syracuse,-76.137431,43.053092,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,030.-02-14.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,353 Midland Ave,Onondaga,Syracuse,-76.155267,43.037234,,,2015,Unimproved,Demolitions,AG Demo Funds #2,094.-01-15.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,126 Geddes St N,Onondaga,Syracuse,-76.170288,43.0495,1,5/21/2015,2015,Demolition Candidate,,unfunded,105.-09-19.0
3.115E+25,Residential Improved,New,Land Bank,,358-60 Hudson St,Onondaga,Syracuse,-76.160178,43.030424,,,2015,Demolition Candidate,,unfunded,086.-22-13.0
3.115E+25,Residential Improved,New,Land Bank,,738 Laurel St E,Onondaga,Syracuse,-76.143853,43.060702,,,2015,Minor Renovation Needed,,,016.-04-17.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,116 May Ave,Onondaga,Syracuse,-76.160881,43.021999,9900,3/22/2016,2015,Major Renovation Needed,,,079.-12-14.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,110 Schiller Ave,Onondaga,Syracuse,-76.1408,43.071159,5000,7/27/2015,2015,,,,010.-14-04.0
3.115E+25,Residential Improved,New,Land Bank,,122 Lincoln Ave,Onondaga,Syracuse,-76.1577,43.03865,,,2015,Demolition Candidate,,unfunded,093.-05-06.0
3.115E+25,Residential Improved,New,Land Bank,,111 Fountain St,Onondaga,Syracuse,-76.134956,43.054748,,,2015,Demolition Candidate,,unfunded,018.-04-53.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,122 Huron St,Onondaga,Syracuse,-76.156731,43.03244,4500,9/29/2015,2015,Major Renovation Needed,,,086.-07-12.0
3.115E+25,Residential Vacant - Buildable,Disposition in Process,Land Bank,,242-44 Furman St,Onondaga,Syracuse,-76.152122,43.031139,,,2015,,,,085.-13-31.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,506-12 Park Ave,Onondaga,Syracuse,-76.16475,43.052327,3000,9/23/2015,,Major Renovation Needed,,,106.-11-15.0
313201-007.-04-22.0,Residential Improved,Compliance Monitoring,Private,,306 Second St,Onondaga,Solvay,-76.216172,43.060816,17500,7/24/2015,,Major Renovation Needed,,,
3.115E+25,Residential Improved,New,Land Bank,,214 Rowland St,Onondaga,Syracuse,-76.173135,43.036044,,,,,,,092.-17-19.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,236 Hillsdale Ave,Onondaga,Syracuse,-76.108856,43.06509,29900,3/31/2016,2015,Major Renovation Needed,,,024.-22-10.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1519-21 Colvin St W,Onondaga,Syracuse,-76.16243,43.022758,,,2015,Unimproved,Demolitions,AG Demo Funds #2,079.-11-02.0
3.115E+25,Commercial Vacant,Disposed,Private,,1325 Colvin St W,Onondaga,Syracuse,-76.159813,43.023048,151,12/31/2015,2015,Unimproved,Demolitions,AG Demo Funds #2,079.-13-04.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1428 Colvin St W,Onondaga,Syracuse,-76.161591,43.02335,,,2015,Unimproved,Demolitions,AG Demo Funds #2,083.-12-60.0
3.115E+25,Residential Vacant - Nonbuildable,Disposed,Private,,114 Herbst Ave,Onondaga,Syracuse,-76.123047,43.05883,151,10/21/2015,2015,,,,019.-24-07.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,523 Winton St,Onondaga,Syracuse,-76.123878,43.057259,29900,12/23/2015,2015,Minor Renovation Needed,,,029.-06-09.0
3.115E+25,Residential Improved,New,Land Bank,,429 Seymour St,Onondaga,Syracuse,-76.165871,43.041901,,,2015,Major Renovation Needed,,,097.-04-32.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,109 Benedict Ave,Onondaga,Syracuse,-76.137802,43.025139,7900,11/12/2015,2015,Major Renovation Needed,,,058.-08-32.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,415 Sterling Ave & Coolidge A,Onondaga,Syracuse,-76.163252,43.031528,2500,11/20/2015,2015,Major Renovation Needed,,,086.-24-30.0
3.115E+25,Residential Improved,New,Land Bank,,305-07 Palmer Ave,Onondaga,Syracuse,-76.162048,43.031471,,,2015,Demolition Candidate,,unfunded,086.-23-29.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,242-44 Coolidge Ave,Onondaga,Syracuse,-76.163841,43.032002,13050,9/9/2015,2015,,,,086.-01-12.0
3.115E+25,Residential Improved,New,Land Bank,,411 Hudson St,Onondaga,Syracuse,-76.159279,43.02982,,,2015,Demolition Candidate,,unfunded,086.-15-28.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,203 Douglas St,Onondaga,Syracuse,-76.142471,43.059139,3900,,2015,Minor Renovation Needed,,,016.-14-13.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,200 Borden Ave W & Landon Ave,Onondaga,Syracuse,-76.148755,43.027512,19900,,2015,Minor Renovation Needed,,,084.-27-19.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1541-43 South Ave,Onondaga,Syracuse,-76.15892,43.022091,5000,3/4/2016,2015,Major Renovation Needed,,,078.-01-28.0
3.115E+25,Residential Improved,Disposed,Private,,152 Annetta St,Onondaga,Syracuse,-76.164711,43.022259,7000,10/6/2015,2015,Major Renovation Needed,,,079.-07-30.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,104 Bellaire Pl,Onondaga,Syracuse,-76.16317,43.0238,19900,3/9/2016,2015,Major Renovation Needed,,,083.-12-07.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1220 Avery Ave,Onondaga,Syracuse,-76.198807,43.058788,1200,9/28/2015,,,,,113.-10-18.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1207 Butternut St to Grassman,Onondaga,Syracuse,-76.143573,43.066665,,,,,Land Banking,Site Assembly - Land Bank,009.-21-18.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,406 Boyden St,Onondaga,Syracuse,-76.121468,43.060989,,,2015,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,028.-01-03.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1517 Burnet Ave,Onondaga,Syracuse,-76.115662,43.05629,,,2015,Unimproved,Demolitions,CDBG - 2015,028.-08-14.0
3.115E+25,Residential Improved,New,Land Bank,,809-11 Onondaga Ave,Onondaga,Syracuse,-76.161339,43.025959,,,2015,Minor Renovation Needed,,,083.-08-19.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,911 Hawley Ave,Onondaga,Syracuse,-76.129578,43.055771,,,2015,,Land Banking,Site Assembly - Land Bank,029.-03-23.0
3.115E+25,Residential Improved,New,Land Bank,,319 Beech St N,Onondaga,Syracuse,-76.12793,43.053761,,,2015,Demolition Candidate,,unfunded,029.-14-18.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,804 Belden Ave W,Onondaga,Syracuse,-76.163513,43.055,8000,10/13/2015,2015,,,,106.-03-02.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,828-30 Tallman St & Rich St,Onondaga,Syracuse,-76.16153,43.035839,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,093.-04-28.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,230 Coolidge Ave,Onondaga,Syracuse,-76.163856,43.03233,,,2015,Unimproved,Demolitions,AG Demo Funds #1,086.-01-09.0
3.115E+25,Residential Improved,New,Land Bank,,110 Dearborn Pl,Onondaga,Syracuse,-76.157707,43.030449,,,2015,Demolition Candidate,,unfunded,086.-14-03.0
3.115E+25,Residential Improved,New,Land Bank,,260-64 Hudson St & Sterling Ave,Onondaga,Syracuse,-76.160256,43.031931,,,2015,Demolition Candidate,,unfunded,086.-04-17.0
3.115E+25,Residential Improved,New,Land Bank,,1409-11 Midland Ave,Onondaga,Syracuse,-76.150932,43.02536,,,2015,,,,084.-25-28.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,121 Wood Ave,Onondaga,Syracuse,-76.147339,43.0256,5000,12/7/2015,2015,,,,084.-24-15.0
3.115E+25,Residential Improved,Disposed,Private,,262 Borden Ave W,Onondaga,Syracuse,-76.150948,43.027012,7500,11/3/2015,2015,Minor Renovation Needed,,,084.-27-32.0
3.115E+25,Residential Improved,New,Land Bank,,410 Colvin St W,Onondaga,Syracuse,-76.149887,43.024609,,,2015,Major Renovation Needed,,,084.-25-16.0
3.115E+25,Residential Improved,New,Land Bank,,238 Colvin St W,Onondaga,Syracuse,-76.14772,43.025188,,,2015,Major Renovation Needed,,,084.-24-35.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,618 Hawley Ave,Onondaga,Syracuse,-76.133743,43.0541,,,2015,,,,018.-05-08.0
3.115E+25,Commercial Improved,New,Land Bank,,2110-12 Salina St S & Colvin St W,Onondaga,Syracuse,-76.145694,43.025685,,,2015,,,,084.-24-25.0
3.115E+25,Commercial Vacant,Reserved,Land Bank,,209 Isabella St,Onondaga,Syracuse,-76.154404,43.063438,,,2015,,Vacant Land Uses,Community Garden Lease,007.-34-16.0
3.115E+25,Residential Improved,New,Land Bank,,817 South Ave,Onondaga,Syracuse,-76.158081,43.030048,,,2015,Major Renovation Needed,Demolitions,CNY AP - SIDA funds #1,086.-14-28.0
